"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29343","has title","firefox","2026-05-30","passed","2026-05-30","","example.spec.ts","",""
"","3974","TC_API_BK_008 - Ngày trong quá khứ","chromium","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","3972","TC_API_BK_002 - Booking thất bại thiếu token","chromium","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","30203","TC_BK_005 - Refresh reset dữ liệu","firefox","2026-05-30","broken","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","28551","TC_BK_002 - Booking trùng lịch","webkit","2026-05-30","passed","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","11680","get started link","webkit","2026-05-30","failed","2026-05-30","","example.spec.ts","",""
"","604","TC_API_BK_001 - Booking thành công","webkit","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","17307","Login with valid admin account","chromium","2026-05-30","passed","2026-05-30","Authentication login tests","auth.spec.ts","",""
"","61","TC_API_BK_007 - maNguoiDung không tồn tại","webkit","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","18312","has title","webkit","2026-05-30","failed","2026-05-30","","example.spec.ts","",""
"","3973","TC_API_BK_007 - maNguoiDung không tồn tại","chromium","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","121","TC_API_BK_008 - Ngày trong quá khứ","webkit","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","30329","TC_BK_004 - Vượt số khách","webkit","2026-05-30","broken","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","3971","TC_API_BK_003 - Token không hợp lệ","chromium","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","31429","TC_BK_006 - Chưa login","firefox","2026-05-30","broken","2026-05-30","","booking.spec.ts","",""
"","30244","TC_BK_004 - Vượt số khách","firefox","2026-05-30","broken","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","29461","TC_BK_002 - Booking trùng lịch","chromium","2026-05-30","failed","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","73","TC_API_BK_002 - Booking thất bại thiếu token","firefox","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","30168","Kiểm tra lịch sử thuê phòng","firefox","2026-05-30","broken","2026-05-30","Booking history tests","bookingHistory.spec.ts","",""
"","73","TC_API_BK_005 - Thiếu maPhong","firefox","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","30031","get started link","chromium","2026-05-30","broken","2026-05-30","","example.spec.ts","",""
"","85","TC_API_BK_006 - maPhong không tồn tại","webkit","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","28542","TC_BK_001 - Booking thành công","webkit","2026-05-30","passed","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","30178","test case 1: kiểm tra URL sau khi vào trang admin","firefox","2026-05-30","broken","2026-05-30","Admin page","admin.spec.ts","",""
"","66","TC_API_BK_006 - maPhong không tồn tại","firefox","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","3971","TC_API_BK_006 - maPhong không tồn tại","chromium","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","75","TC_API_BK_007 - maNguoiDung không tồn tại","firefox","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","363","TC_API_BK_003 - Token không hợp lệ","firefox","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","3975","TC_API_BK_005 - Thiếu maPhong","chromium","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","29048","TC_BK_005 - Refresh reset dữ liệu","webkit","2026-05-30","failed","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","129","TC_API_BK_008 - Ngày trong quá khứ","firefox","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","9334","test case 1: kiểm tra URL sau khi vào trang admin","chromium","2026-05-30","passed","2026-05-30","Admin page","admin.spec.ts","",""
"","26862","Kiểm tra lịch sử thuê phòng","chromium","2026-05-30","passed","2026-05-30","Booking history tests","bookingHistory.spec.ts","",""
"","30302","TC_BK_005 - Refresh reset dữ liệu","chromium","2026-05-30","broken","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","4540","TC_API_BK_001 - Booking thành công","chromium","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","58","TC_API_BK_003 - Token không hợp lệ","webkit","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","19469","TC_BK_006 - Chưa login","chromium","2026-05-30","passed","2026-05-30","","booking.spec.ts","",""
"","335","TC_API_BK_002 - Booking thất bại thiếu token","webkit","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","30136","Login with valid admin account","firefox","2026-05-30","broken","2026-05-30","Authentication login tests","auth.spec.ts","",""
"","14237","test case 1: kiểm tra URL sau khi vào trang admin","webkit","2026-05-30","passed","2026-05-30","Admin page","admin.spec.ts","",""
"","30078","has title","chromium","2026-05-30","broken","2026-05-30","","example.spec.ts","",""
"","23108","Kiểm tra lịch sử thuê phòng","webkit","2026-05-30","failed","2026-05-30","Booking history tests","bookingHistory.spec.ts","",""
"","17169","Login with valid admin account","webkit","2026-05-30","passed","2026-05-30","Authentication login tests","auth.spec.ts","",""
"","29864","get started link","firefox","2026-05-30","passed","2026-05-30","","example.spec.ts","",""
"","352","TC_API_BK_001 - Booking thành công","firefox","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
"","30303","TC_BK_001 - Booking thành công","chromium","2026-05-30","broken","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","30143","TC_BK_001 - Booking thành công","firefox","2026-05-30","broken","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","22735","TC_BK_006 - Chưa login","webkit","2026-05-30","failed","2026-05-30","","booking.spec.ts","",""
"","30147","TC_BK_002 - Booking trùng lịch","firefox","2026-05-30","broken","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","26101","TC_BK_004 - Vượt số khách","chromium","2026-05-30","passed","2026-05-30","BOOKING TEST","booking.spec.ts","",""
"","629","TC_API_BK_005 - Thiếu maPhong","webkit","2026-05-30","passed","2026-05-30","Api Booking Test","apiBooking.spec.ts","",""
